fold_id,test_subject,feature,coefficient,abs_coefficient
0,Subject203,delta_AF3,-0.03125882422586325,0.03125882422586325
0,Subject203,theta_AF3,0.0009090107646038986,0.0009090107646038986
0,Subject203,alpha_AF3,-0.026318065989357646,0.026318065989357646
0,Subject203,beta_AF3,0.031814736694903395,0.031814736694903395
0,Subject203,delta_AF4,-0.04408502686520361,0.04408502686520361
0,Subject203,theta_AF4,-0.13923566979308277,0.13923566979308277
0,Subject203,alpha_AF4,0.1083879220000254,0.1083879220000254
0,Subject203,beta_AF4,0.1327419745654875,0.1327419745654875
0,Subject203,delta_F3,0.00481337510134737,0.00481337510134737
0,Subject203,theta_F3,0.0026640637069595785,0.0026640637069595785
0,Subject203,alpha_F3,-0.007158563699372491,0.007158563699372491
0,Subject203,beta_F3,-0.0034614493442640787,0.0034614493442640787
0,Subject203,delta_F4,-0.08499320945501752,0.08499320945501752
0,Subject203,theta_F4,0.01431072060798307,0.01431072060798307
0,Subject203,alpha_F4,0.10423431005097332,0.10423431005097332
0,Subject203,beta_F4,-0.035471405489986695,0.035471405489986695
1,Subject204,delta_AF3,-0.01811412671853467,0.01811412671853467
1,Subject204,theta_AF3,0.0011637600221478053,0.0011637600221478053
1,Subject204,alpha_AF3,-0.08163883321675636,0.08163883321675636
1,Subject204,beta_AF3,-0.1119376376330149,0.1119376376330149
1,Subject204,delta_AF4,-0.02834866403133406,0.02834866403133406
1,Subject204,theta_AF4,0.016519921648951847,0.016519921648951847
1,Subject204,alpha_AF4,0.06430166771614712,0.06430166771614712
1,Subject204,beta_AF4,0.10968648822908113,0.10968648822908113
1,Subject204,delta_F3,-0.019887637288050448,0.019887637288050448
1,Subject204,theta_F3,-0.04070979400337034,0.04070979400337034
1,Subject204,alpha_F3,0.07269828458386025,0.07269828458386025
1,Subject204,beta_F3,0.51336127042834,0.51336127042834
1,Subject204,delta_F4,0.06225288773356746,0.06225288773356746
1,Subject204,theta_F4,-0.14523619068915528,0.14523619068915528
1,Subject204,alpha_F4,0.039200674359910426,0.039200674359910426
