feature,mean_coefficient,std_coefficient,mean_abs_coefficient,max_abs_coefficient,n_folds
beta_F4,-0.2717242375253864,0.4529553273738058,0.2872544441243173,1.2351282890280384,9
alpha_F4,0.12262005218886718,0.10732660068840814,0.12603146663439538,0.34307122637930293,9
delta_F4,-0.11059832703492672,0.12231882301570789,0.12443230208683059,0.31587081348396356,9
alpha_AF4,0.08991141792127631,0.08019919637290503,0.10637473228976296,0.2303577439659876,9
beta_AF4,0.06578392705519846,0.09070049488411097,0.10581393088873228,0.1327419745654875,9
beta_AF3,0.06978153290797982,0.19849734249337878,0.10282131377099933,0.5820299027568249,9
theta_F4,0.04575503290129112,0.14224116256926567,0.08806665620401494,0.3504273909382237,9
theta_AF4,-0.07400370014491589,0.07290754925180554,0.08409848414101279,0.14111868865471858,9
alpha_AF3,0.006891062008659027,0.1320670364653994,0.0720106120299559,0.35505753317376715,9
beta_F3,0.05421794802298104,0.17218189738292605,0.05986233429442785,0.51336127042834,9
delta_AF4,-0.029828775025206693,0.02071964029154113,0.03499045556918809,0.044538414248129175,9
delta_AF3,-0.02484404700714463,0.009623067381412673,0.02484404700714463,0.03137460179596646,9
theta_AF3,0.010679752077434641,0.04407653240761203,0.01843203393361129,0.12718241364381466,9
alpha_F3,0.0038946223032531374,0.025940468841109298,0.012260552048715808,0.07269828458386025,9
delta_F3,0.002391782436433348,0.008571720854859115,0.006811257389333448,0.019887637288050448,9
theta_F3,-0.0031360352663251066,0.014158721805144799,0.006209313472553558,0.04070979400337034,9
