fold_id,test_subject,feature,coefficient,abs_coefficient
0,Subject203,delta_F3,-0.017604102437430384,0.017604102437430384
0,Subject203,theta_F3,-0.3685468124653545,0.3685468124653545
0,Subject203,alpha_F3,-0.31545547527593976,0.31545547527593976
0,Subject203,beta_F3,1.1990103036411304,1.1990103036411304
0,Subject203,delta_F4,-0.10675613673804847,0.10675613673804847
0,Subject203,theta_F4,-0.08868783780534352,0.08868783780534352
0,Subject203,alpha_F4,-0.04710422451120337,0.04710422451120337
0,Subject203,beta_F4,0.1761874898782808,0.1761874898782808
0,Subject203,delta_FC5,0.08792218650195172,0.08792218650195172
0,Subject203,theta_FC5,0.10158835290774082,0.10158835290774082
0,Subject203,alpha_FC5,0.009531534031553828,0.009531534031553828
0,Subject203,beta_FC5,-0.18025356784242882,0.18025356784242882
0,Subject203,delta_FC6,-0.007024838853615017,0.007024838853615017
0,Subject203,theta_FC6,0.05776156606171565,0.05776156606171565
0,Subject203,alpha_FC6,0.45100413099976705,0.45100413099976705
0,Subject203,beta_FC6,-0.34115383343728717,0.34115383343728717
0,Subject203,delta_O2,-0.1817422686331885,0.1817422686331885
0,Subject203,theta_O2,0.3946514948418704,0.3946514948418704
0,Subject203,alpha_O2,-0.027573413732968566,0.027573413732968566
0,Subject203,beta_O2,-0.8505938089456242,0.8505938089456242
0,Subject203,delta_O1,0.1125227609302037,0.1125227609302037
0,Subject203,theta_O1,-0.11795367669385894,0.11795367669385894
0,Subject203,alpha_O1,0.16338306570843164,0.16338306570843164
0,Subject203,beta_O1,-0.39576879636643086,0.39576879636643086
1,Subject204,delta_F3,-0.061324318764156234,0.061324318764156234
1,Subject204,theta_F3,-0.16456644692956263,0.16456644692956263
1,Subject204,alpha_F3,0.033204108029209096,0.033204108029209096
1,Subject204,beta_F3,0.9963387839291037,0.9963387839291037
1,Subject204,delta_F4,0.05518257555954785,0.05518257555954785
1,Subject204,theta_F4,-0.33038868504239466,0.33038868504239466
1,Subject204,alpha_F4,0.2352975671738661,0.2352975671738661
1,Subject204,beta_F4,-0.8825769164670243,0.8825769164670243
1,Subject204,delta_FC5,0.032239223949217966,0.032239223949217966
1,Subject204,theta_FC5,0.03341898271713944,0.03341898271713944
1,Subject204,alpha_FC5,-0.012527985508343217,0.012527985508343217
1,Subject204,beta_FC5,-0.08426568510134273,0.08426568510134273
1,Subject204,delta_FC6,-0.010623013029114555,0.010623013029114555
1,Subject204,theta_FC6,0.07123274468700594,0.07123274468700594
1,Subject204,alpha_FC6,0.038233943320323864,0.038233943320323864
1,Subject204,beta_FC6,0.011684414471632815,0.011684414471632815
1,Subject204,delta_O2,-0.04843281577566743,0.04843281577566743
1,Subject204,theta_O2,0.3075641141814308,0.3075641141814308
1,Subject204,alpha_O2,0.039147204369488486,0.039147204369488486
1,Subject204,beta_O2,-0.44953372403667136,0.44953372403667136
1,Subject204,delta_O1,0.061352879141058025,0.061352879141058025
1,Subject204,theta_O1,-0.08897503794095896,0.08897503794095896
1,Subject204,alpha_O1,0.008094348261748333,0.008094348261748333
1,Subject204,beta_O1,-0.16139852472655508,0.16139852472655508
2,Subject205,delta_F3,0.01025091029323173,0.01025091029323173
2,Subject205,theta_F3,-0.49836385851271975,0.49836385851271975
2,Subject205,alpha_F3,-0.318683019545813,0.318683019545813
2,Subject205,beta_F3,0.7488213038505572,0.7488213038505572
2,Subject205,delta_F4,-0.13181598655568535,0.13181598655568535
2,Subject205,theta_F4,-0.08322728236668925,0.08322728236668925
2,Subject205,alpha_F4,-0.04093778644677464,0.04093778644677464
2,Subject205,beta_F4,0.1758896837488278,0.1758896837488278
2,Subject205,delta_FC5,0.08838152008495477,0.08838152008495477
2,Subject205,theta_FC5,0.0858567953475617,0.0858567953475617
