feature,mean_coefficient,std_coefficient,mean_abs_coefficient,max_abs_coefficient,n_folds
beta_F3,1.0068576850569801,0.19155848914403234,1.0068576850569801,1.2021183038563217,9
beta_O2,-0.8302946215797478,0.2102125577204301,0.8302946215797478,1.0470461253408316,9
theta_F3,-0.38414948095050805,0.22422568215054153,0.38414948095050805,0.7374777627261092,9
alpha_FC6,0.3377541737928562,0.16245409162231075,0.3377541737928562,0.45201358282908766,9
beta_O1,-0.15487223942710138,0.3370558435973235,0.32816577189007723,0.566409624912269,9
theta_O2,0.31866315369576753,0.13358366953686876,0.31866315369576753,0.5376715295497002,9
alpha_F3,-0.27903826963467965,0.12931365788334814,0.28641696030783725,0.4104911821907073,9
beta_FC6,-0.2802974799983564,0.1968372286402275,0.28289401654760815,0.6693994835225968,9
beta_F4,0.06380028492077285,0.3593337243544558,0.2599284885801116,0.8825769164670243,9
theta_O1,0.04243796761433384,0.35732763253928185,0.2509265912121248,0.7348584447438931,9
delta_O2,-0.13639485068549823,0.2673003577283493,0.24778986565110594,0.5012775673452348,9
delta_O1,0.0841878984564882,0.34557487004260035,0.24710073369742913,0.733107758584234,9
alpha_O1,0.16557299728832958,0.19010772680968674,0.2031206532209007,0.44114636023597376,9
beta_FC5,-0.1740744234255009,0.17838621712557118,0.18155505218574963,0.6032594108727508,9
theta_F4,-0.12306674847333429,0.09243188694586132,0.12306674847333429,0.33038868504239466,9
delta_F4,-0.09087125320072431,0.07398432117208924,0.10313404776951271,0.22562042556302567,9
alpha_F4,0.02034363108113423,0.1356038593090901,0.09412150999327926,0.2797955676609946,9
theta_FC6,0.09050572112967996,0.13983532616378008,0.09050572112967996,0.4585394173575824,9
theta_FC5,0.07916983751572307,0.06427806371194691,0.0804879764058733,0.21303488896964956,9
delta_FC5,0.050606481808821074,0.05325565603528602,0.06494639367436972,0.09410006281573853,9
alpha_O2,0.011559005294901102,0.07370733825004201,0.0581722369102819,0.11903941430003194,9
alpha_FC5,0.03947840510171179,0.11509336069596235,0.04961926149254648,0.3440445865778397,9
delta_F3,-0.006127926583955602,0.03983344067449223,0.031413515400131306,0.06736885073687654,9
delta_FC6,-0.014721132909082366,0.0259043357825675,0.014721132909082366,0.08354672063753445,9
