fold_id,test_subject,feature,coefficient,abs_coefficient
0,Subject203,delta_AF3,0.004903131431323617,0.004903131431323617
0,Subject203,theta_AF3,-0.19028387442682623,0.19028387442682623
0,Subject203,alpha_AF3,-0.08436950318748622,0.08436950318748622
0,Subject203,beta_AF3,0.8259572833775977,0.8259572833775977
0,Subject203,delta_AF4,-0.05140466486389499,0.05140466486389499
0,Subject203,theta_AF4,0.04769974581877187,0.04769974581877187
0,Subject203,alpha_AF4,0.23143784233950004,0.23143784233950004
0,Subject203,beta_AF4,-1.1210414264600213,1.1210414264600213
0,Subject203,delta_F3,0.0169791977390388,0.0169791977390388
0,Subject203,theta_F3,-0.42915143556944857,0.42915143556944857
0,Subject203,alpha_F3,-0.14617541030515444,0.14617541030515444
0,Subject203,beta_F3,1.4236158757428337,1.4236158757428337
0,Subject203,delta_F4,0.011489830038597871,0.011489830038597871
0,Subject203,theta_F4,-0.21245841683095024,0.21245841683095024
0,Subject203,alpha_F4,-0.08611683108772908,0.08611683108772908
0,Subject203,beta_F4,0.27356817844177345,0.27356817844177345
0,Subject203,delta_FC5,-0.02097977098326395,0.02097977098326395
0,Subject203,theta_FC5,0.34908204165751333,0.34908204165751333
0,Subject203,alpha_FC5,-0.04072591161782348,0.04072591161782348
0,Subject203,beta_FC5,-0.8514525277330757,0.8514525277330757
0,Subject203,delta_FC6,-0.005868901249102186,0.005868901249102186
0,Subject203,theta_FC6,0.019171354358603652,0.019171354358603652
0,Subject203,alpha_FC6,0.06920517200825832,0.06920517200825832
0,Subject203,beta_FC6,-0.015826252653653294,0.015826252653653294
0,Subject203,delta_O2,-0.07071083901834144,0.07071083901834144
0,Subject203,theta_O2,0.057067879362069716,0.057067879362069716
0,Subject203,alpha_O2,0.1443802566140054,0.1443802566140054
0,Subject203,beta_O2,-0.8993280981502562,0.8993280981502562
0,Subject203,delta_O1,0.0021617733896905477,0.0021617733896905477
0,Subject203,theta_O1,0.5926792830270123,0.5926792830270123
0,Subject203,alpha_O1,0.4453470839999493,0.4453470839999493
0,Subject203,beta_O1,-1.2025286637994246,1.2025286637994246
1,Subject204,delta_AF3,0.005309938580315513,0.005309938580315513
1,Subject204,theta_AF3,-0.07787395359684315,0.07787395359684315
1,Subject204,alpha_AF3,-0.0706221750412785,0.0706221750412785
1,Subject204,beta_AF3,0.09306429661305586,0.09306429661305586
1,Subject204,delta_AF4,-0.07187873786987281,0.07187873786987281
1,Subject204,theta_AF4,-0.09432617901456701,0.09432617901456701
1,Subject204,alpha_AF4,0.5406201972021842,0.5406201972021842
1,Subject204,beta_AF4,1.197016184216763,1.197016184216763
1,Subject204,delta_F3,0.007524118828157378,0.007524118828157378
1,Subject204,theta_F3,-0.19477134043571803,0.19477134043571803
1,Subject204,alpha_F3,0.03855073708212703,0.03855073708212703
1,Subject204,beta_F3,0.7195406346235288,0.7195406346235288
1,Subject204,delta_F4,-0.01550304734862874,0.01550304734862874
1,Subject204,theta_F4,-0.07565523849787138,0.07565523849787138
1,Subject204,alpha_F4,-0.15153715565482143,0.15153715565482143
1,Subject204,beta_F4,-0.6637500082031443,0.6637500082031443
1,Subject204,delta_FC5,0.0039973819169414285,0.0039973819169414285
1,Subject204,theta_FC5,0.22558373791553568,0.22558373791553568
1,Subject204,alpha_FC5,-0.08584238946846146,0.08584238946846146
1,Subject204,beta_FC5,-0.5244150881481452,0.5244150881481452
1,Subject204,delta_FC6,-0.013040869842103115,0.013040869842103115
1,Subject204,theta_FC6,0.01886933945226357,0.01886933945226357
1,Subject204,alpha_FC6,0.023579839785856697,0.023579839785856697
1,Subject204,beta_FC6,0.07692866927325548,0.07692866927325548
1,Subject204,delta_O2,-0.0163027068081193,0.0163027068081193
1,Subject204,theta_O2,-0.053790381024559845,0.053790381024559845
1,Subject204,alpha_O2,0.18556754627398594,0.18556754627398594
1,Subject204,beta_O2,-0.7587058246496211,0.7587058246496211
1,Subject204,delta_O1,-0.012775551169508651,0.012775551169508651
1,Subject204,theta_O1,0.3864400082247053,0.3864400082247053
1,Subject204,alpha_O1,0.16659610948399656,0.16659610948399656
1,Subject204,beta_O1,-0.2360437163929941,0.2360437163929941
2,Subject205,delta_AF3,0.00502390137555972,0.00502390137555972
2,Subject205,theta_AF3,-0.1883833256134852,0.1883833256134852
2,Subject205,alpha_AF3,-0.0898543147800326,0.0898543147800326
2,Subject205,beta_AF3,0.8180881381392064,0.8180881381392064
2,Subject205,delta_AF4,-0.052955013336652645,0.052955013336652645
2,Subject205,theta_AF4,0.043250219395245405,0.043250219395245405
2,Subject205,alpha_AF4,0.22644973870036303,0.22644973870036303
2,Subject205,beta_AF4,-1.123709675821152,1.123709675821152
2,Subject205,delta_F3,0.011474488727183178,0.011474488727183178
2,Subject205,theta_F3,-0.2931291325685613,0.2931291325685613
2,Subject205,alpha_F3,-0.10665156100313071,0.10665156100313071
2,Subject205,beta_F3,1.0107476816070171,1.0107476816070171
2,Subject205,delta_F4,0.012121336869119478,0.012121336869119478
2,Subject205,theta_F4,-0.22947153542548526,0.22947153542548526
2,Subject205,alpha_F4,-0.09712426024813713,0.09712426024813713
2,Subject205,beta_F4,0.3095460025622409,0.3095460025622409
2,Subject205,delta_FC5,-0.03505528699772142,0.03505528699772142
2,Subject205,theta_FC5,0.36261517353535005,0.36261517353535005
2,Subject205,alpha_FC5,-0.039067552111602025,0.039067552111602025
2,Subject205,beta_FC5,-0.8293702178583126,0.8293702178583126
2,Subject205,delta_FC6,-0.00727116646958702,0.00727116646958702
2,Subject205,theta_FC6,0.020203397300280333,0.020203397300280333
2,Subject205,alpha_FC6,0.06674837864556182,0.06674837864556182
2,Subject205,beta_FC6,-0.008473662736838009,0.008473662736838009
2,Subject205,delta_O2,0.23266813492705854,0.23266813492705854
2,Subject205,theta_O2,0.3987481432654871,0.3987481432654871
2,Subject205,alpha_O2,0.11072590638395989,0.11072590638395989
2,Subject205,beta_O2,-0.9103195235530154,0.9103195235530154
2,Subject205,delta_O1,-0.35453139414333873,0.35453139414333873
2,Subject205,theta_O1,-0.0336331447210742,0.0336331447210742
2,Subject205,alpha_O1,0.45169020896361955,0.45169020896361955
2,Subject205,beta_O1,-0.7158918533160925,0.7158918533160925
3,Subject207,delta_AF3,-0.011066404231291415,0.011066404231291415
3,Subject207,theta_AF3,-0.016721590334888934,0.016721590334888934
3,Subject207,alpha_AF3,-0.042263736286642414,0.042263736286642414
3,Subject207,beta_AF3,-0.015533921491183534,0.015533921491183534
3,Subject207,delta_AF4,-0.016464899978687428,0.016464899978687428
3,Subject207,theta_AF4,0.01583940510731409,0.01583940510731409
3,Subject207,alpha_AF4,0.049562239289441645,0.049562239289441645
3,Subject207,beta_AF4,0.127023621665865,0.127023621665865
3,Subject207,delta_F3,0.005367316764742898,0.005367316764742898
