feature,mean_coefficient,std_coefficient,mean_abs_coefficient,max_abs_coefficient,n_folds
beta_F3,1.0649289478139359,0.395122536899998,1.0649289478139359,1.6116712126270072,9
beta_AF4,-0.6296131717064125,0.8669124472149413,0.9238442396803299,1.3450336799477574,9
beta_O2,-0.8551602263490362,0.170750801531294,0.8551602263490362,1.0849680326484654,9
beta_O1,-0.787708913889462,0.35709273028555555,0.787708913889462,1.2248594220356082,9
beta_FC5,-0.7086525334422115,0.29539008859423327,0.7086525334422115,1.1160399549450297,9
beta_AF3,0.6016806663333855,0.3390486263802989,0.6051326488869818,0.8673589588899702,9
theta_O1,0.5474261319671849,0.3468454902535153,0.5549001641274236,1.1844949196563483,9
alpha_O1,0.33568173393223755,0.3125245141340711,0.4142261248757236,0.8228846085417445,9
theta_F3,-0.3122652598808775,0.15148977758598067,0.3122652598808775,0.5646001433086174,9
theta_FC5,0.3035975307916915,0.11581710548041398,0.3035975307916915,0.4371660372311485,9
beta_F4,0.11975702027614053,0.30615418976447006,0.2672570220990615,0.6637500082031443,9
alpha_O2,0.08131094791663555,0.30203618599343457,0.23205724018372567,0.6372596560333847,9
alpha_AF4,0.2206042416912396,0.1651717951109577,0.22671469051248833,0.5406201972021842,9
theta_F4,-0.18948753452568226,0.08570111095499841,0.18948753452568226,0.3694147496701351,9
alpha_FC5,0.05827656651529448,0.338384809726587,0.15468520677520375,0.958327979807242,9
theta_AF3,-0.14532388941180335,0.07807229040162546,0.14532388941180335,0.24820577323524892,9
alpha_F3,-0.11283226101320544,0.13115945697135023,0.1393517934363717,0.3355820943132877,9
delta_O2,-0.07589666156696767,0.17502767042726824,0.12760069155075848,0.4471920003055154,9
theta_O2,0.02830457101242602,0.17746975973275333,0.12670734875109424,0.3987481432654871,9
alpha_AF3,-0.09420443434590248,0.05464014485394472,0.09420443434590248,0.22760294058200417,9
alpha_F4,-0.07309511362147023,0.0466023633769586,0.0748398682761392,0.15153715565482143,9
alpha_FC6,0.05398790049193866,0.03769314606537479,0.056160384866596504,0.11647001223869842,9
theta_AF4,0.025138446017296957,0.059335458331814535,0.053049100807891075,0.10239663637460396,9
delta_O1,-0.04543532397813326,0.11641287697676128,0.047488306944839236,0.35453139414333873,9
delta_AF4,-0.0424666036974641,0.028166332996188592,0.04630635271806341,0.07225313335878704,9
beta_FC6,0.006776810448344064,0.03957644013810239,0.03002850997938374,0.07692866927325548,9
theta_FC6,0.01219386361714244,0.022210043081507206,0.022535889778860677,0.04653911772773207,9
delta_F3,0.019825683925881618,0.021252829625788165,0.019825683925881618,0.07298403947836352,9
delta_FC5,-0.014683151024661402,0.012005875142701242,0.015571458117315053,0.03505528699772142,9
delta_F4,0.01045791049580812,0.010931243886336537,0.013903032128836725,0.023856938898618712,9
delta_FC6,-0.005870128755474784,0.004749751874098655,0.0061811302565483745,0.013040869842103115,9
delta_AF3,0.003437674535615302,0.0055195641492137805,0.005896875475902282,0.011066404231291415,9
