fold_id,test_subject,feature,coefficient,abs_coefficient
0,Subject203,delta_AF3,-0.04152745717800751,0.04152745717800751
0,Subject203,theta_AF3,0.026860296596903616,0.026860296596903616
0,Subject203,alpha_AF3,-0.05720065167029218,0.05720065167029218
0,Subject203,beta_AF3,0.6707546355655895,0.6707546355655895
0,Subject203,delta_AF4,-0.06415998227602553,0.06415998227602553
0,Subject203,theta_AF4,0.11340477221535496,0.11340477221535496
0,Subject203,alpha_AF4,0.10673581253584549,0.10673581253584549
0,Subject203,beta_AF4,-1.2826105358520363,1.2826105358520363
0,Subject203,delta_F3,0.012747878040596173,0.012747878040596173
0,Subject203,theta_F3,-0.6105651632614916,0.6105651632614916
0,Subject203,alpha_F3,-0.334201038024369,0.334201038024369
0,Subject203,beta_F3,1.2868172759334011,1.2868172759334011
0,Subject203,delta_F4,-0.14356095541830982,0.14356095541830982
0,Subject203,theta_F4,-0.07411950698915773,0.07411950698915773
0,Subject203,alpha_F4,-0.00025757178730750164,0.00025757178730750164
0,Subject203,beta_F4,0.17707296663385094,0.17707296663385094
0,Subject203,delta_FC5,0.04698272499014898,0.04698272499014898
0,Subject203,theta_FC5,0.07340390621804992,0.07340390621804992
0,Subject203,alpha_FC5,-0.09340551806952652,0.09340551806952652
0,Subject203,beta_FC5,-0.6291836124390343,0.6291836124390343
0,Subject203,delta_FC6,-0.006648159011055794,0.006648159011055794
0,Subject203,theta_FC6,0.0792283706457105,0.0792283706457105
0,Subject203,alpha_FC6,0.2732123135469616,0.2732123135469616
0,Subject203,beta_FC6,-0.17098169041997005,0.17098169041997005
0,Subject203,delta_O2,-0.12795661227545774,0.12795661227545774
0,Subject203,theta_O2,0.31757007724960234,0.31757007724960234
0,Subject203,alpha_O2,0.29626189371964873,0.29626189371964873
0,Subject203,beta_O2,-1.0173043110926658,1.0173043110926658
0,Subject203,delta_O1,0.346540484025423,0.346540484025423
0,Subject203,theta_O1,0.18030099619597775,0.18030099619597775
0,Subject203,alpha_O1,0.4301952713879544,0.4301952713879544
0,Subject203,beta_O1,-0.693533143775848,0.693533143775848
1,Subject204,delta_AF3,-0.026199867233589857,0.026199867233589857
1,Subject204,theta_AF3,0.0007869326206369441,0.0007869326206369441
1,Subject204,alpha_AF3,-0.06806810946411826,0.06806810946411826
1,Subject204,beta_AF3,0.012131894742571054,0.012131894742571054
1,Subject204,delta_AF4,-0.05499396257876357,0.05499396257876357
1,Subject204,theta_AF4,0.03605499769577377,0.03605499769577377
1,Subject204,alpha_AF4,0.07424742112237313,0.07424742112237313
1,Subject204,beta_AF4,0.15392464010865106,0.15392464010865106
1,Subject204,delta_F3,-0.03408627486428167,0.03408627486428167
1,Subject204,theta_F3,-0.4110294785583474,0.4110294785583474
1,Subject204,alpha_F3,0.10738151092704308,0.10738151092704308
1,Subject204,beta_F3,0.876872025764618,0.876872025764618
1,Subject204,delta_F4,0.09580736581397278,0.09580736581397278
1,Subject204,theta_F4,-0.2987033996378413,0.2987033996378413
1,Subject204,alpha_F4,-0.07383305094833094,0.07383305094833094
1,Subject204,beta_F4,-1.1797651889601046,1.1797651889601046
1,Subject204,delta_FC5,0.030969564977565228,0.030969564977565228
1,Subject204,theta_FC5,-0.00734341892015424,0.00734341892015424
1,Subject204,alpha_FC5,-0.17478320443880505,0.17478320443880505
1,Subject204,beta_FC5,-0.47251149087378297,0.47251149087378297
1,Subject204,delta_FC6,-0.01715640713731981,0.01715640713731981
1,Subject204,theta_FC6,0.03871887674274102,0.03871887674274102
1,Subject204,alpha_FC6,0.05457023586165196,0.05457023586165196
1,Subject204,beta_FC6,0.07323883444388062,0.07323883444388062
1,Subject204,delta_O2,-0.08645940411100848,0.08645940411100848
1,Subject204,theta_O2,0.23804582397027776,0.23804582397027776
1,Subject204,alpha_O2,0.23883068626486015,0.23883068626486015
1,Subject204,beta_O2,-0.5167432942816138,0.5167432942816138
1,Subject204,delta_O1,0.14940135388749176,0.14940135388749176
1,Subject204,theta_O1,0.2949419225358452,0.2949419225358452
1,Subject204,alpha_O1,0.15704788868884628,0.15704788868884628
1,Subject204,beta_O1,-0.05449635638380165,0.05449635638380165
2,Subject205,delta_AF3,-0.04052968519819112,0.04052968519819112
2,Subject205,theta_AF3,0.0230852585498344,0.0230852585498344
2,Subject205,alpha_AF3,-0.05796392989889199,0.05796392989889199
2,Subject205,beta_AF3,0.6124379995192597,0.6124379995192597
2,Subject205,delta_AF4,-0.06366700837313145,0.06366700837313145
2,Subject205,theta_AF4,0.11755736939769772,0.11755736939769772
2,Subject205,alpha_AF4,0.10268620724967893,0.10268620724967893
2,Subject205,beta_AF4,-1.2166028952680408,1.2166028952680408
2,Subject205,delta_F3,0.024120122531166115,0.024120122531166115
2,Subject205,theta_F3,-0.6800022314658056,0.6800022314658056
2,Subject205,alpha_F3,-0.22921499758107367,0.22921499758107367
2,Subject205,beta_F3,0.7761721013152196,0.7761721013152196
2,Subject205,delta_F4,-0.16207931716600543,0.16207931716600543
2,Subject205,theta_F4,-0.0828140765751259,0.0828140765751259
2,Subject205,alpha_F4,-0.016581631801419142,0.016581631801419142
2,Subject205,beta_F4,0.21229013254193374,0.21229013254193374
2,Subject205,delta_FC5,0.06297809324004558,0.06297809324004558
2,Subject205,theta_FC5,0.06397308399952731,0.06397308399952731
2,Subject205,alpha_FC5,-0.08505433403743629,0.08505433403743629
2,Subject205,beta_FC5,-0.5798049136064837,0.5798049136064837
2,Subject205,delta_FC6,-0.006133742537462798,0.006133742537462798
2,Subject205,theta_FC6,0.0730913732139598,0.0730913732139598
2,Subject205,alpha_FC6,0.24820489012832528,0.24820489012832528
2,Subject205,beta_FC6,-0.13551939941108215,0.13551939941108215
2,Subject205,delta_O2,0.6175166161877437,0.6175166161877437
2,Subject205,theta_O2,0.4800396515310848,0.4800396515310848
2,Subject205,alpha_O2,0.2544276380987713,0.2544276380987713
