fold_id,test_subject,feature,coefficient,abs_coefficient
0,Subject203,delta_AF3,0.032689524419868145,0.032689524419868145
0,Subject203,theta_AF3,-0.02056951603311409,0.02056951603311409
0,Subject203,alpha_AF3,-0.1971523177332307,0.1971523177332307
0,Subject203,beta_AF3,0.822502289825223,0.822502289825223
0,Subject203,delta_AF4,-0.10983067711272272,0.10983067711272272
0,Subject203,theta_AF4,0.0016314142474409348,0.0016314142474409348
0,Subject203,alpha_AF4,0.11411712255847413,0.11411712255847413
0,Subject203,beta_AF4,0.9611681635321985,0.9611681635321985
0,Subject203,delta_F3,0.05023256250322215,0.05023256250322215
0,Subject203,theta_F3,-0.12851308421881505,0.12851308421881505
0,Subject203,alpha_F3,-0.1066323286060819,0.1066323286060819
0,Subject203,beta_F3,0.4159642448635704,0.4159642448635704
0,Subject203,delta_F4,-0.10216693641756777,0.10216693641756777
0,Subject203,theta_F4,-0.6566208736789969,0.6566208736789969
0,Subject203,alpha_F4,-0.35369925183218925,0.35369925183218925
0,Subject203,beta_F4,0.4110439836029266,0.4110439836029266
0,Subject203,delta_FC5,-0.1382131742805242,0.1382131742805242
0,Subject203,theta_FC5,-0.36878941221441064,0.36878941221441064
0,Subject203,alpha_FC5,-0.02982289427514874,0.02982289427514874
0,Subject203,beta_FC5,-1.195579581107287,1.195579581107287
0,Subject203,delta_FC6,0.013869001889775136,0.013869001889775136
0,Subject203,theta_FC6,-0.1224236440488015,0.1224236440488015
0,Subject203,alpha_FC6,0.21146606494827336,0.21146606494827336
0,Subject203,beta_FC6,-0.3766366256466599,0.3766366256466599
0,Subject203,delta_O2,-0.005833497774849145,0.005833497774849145
0,Subject203,theta_O2,-0.514481327406987,0.514481327406987
0,Subject203,alpha_O2,0.1554565718949719,0.1554565718949719
0,Subject203,beta_O2,-0.37198553145389984,0.37198553145389984
0,Subject203,delta_O1,0.0399755603866632,0.0399755603866632
0,Subject203,theta_O1,0.42814063123355534,0.42814063123355534
0,Subject203,alpha_O1,0.05947485521377868,0.05947485521377868
0,Subject203,beta_O1,0.03381926479416351,0.03381926479416351
1,Subject204,delta_AF3,0.06602321325096339,0.06602321325096339
1,Subject204,theta_AF3,-0.03175655353078268,0.03175655353078268
1,Subject204,alpha_AF3,-0.2196841102207675,0.2196841102207675
1,Subject204,beta_AF3,0.89857326530054,0.89857326530054
