feature,mean_coefficient,std_coefficient,mean_abs_coefficient,max_abs_coefficient,n_folds
beta_AF4,1.0914508394562603,0.23571744959395774,1.0914508394562603,1.4933333831391549,9
beta_AF3,1.0296364200332542,0.22998117340452914,1.0296364200332542,1.3040459629618988,9
beta_FC5,-0.9966763061877164,0.2828368870672156,0.9966763061877164,1.587288402500073,9
beta_F4,0.6923781806740072,0.24972669852394908,0.6923781806740072,1.0676075806883738,9
beta_O2,-0.5623630759212901,0.2331965079920369,0.5623630759212901,1.0125092867079826,9
theta_F4,-0.5372932049256239,0.1464952772678121,0.5372932049256239,0.730030755506511,9
beta_F3,0.5294813630372954,0.13244885492093095,0.5294813630372954,0.7578282345439661,9
beta_FC6,-0.4569661823778689,0.30121220550953287,0.4569661823778689,1.15475211726939,9
alpha_F4,-0.44247149561151633,0.04658654156621853,0.44247149561151633,0.5038427416788173,9
theta_FC5,-0.3898565384880961,0.08780110144738257,0.3898565384880961,0.5062732369212468,9
theta_O2,-0.35797698781527154,0.11299974213356823,0.35797698781527154,0.514481327406987,9
alpha_AF3,-0.2421946514996987,0.07616015336886098,0.2421946514996987,0.37516859778882117,9
theta_O1,0.23898022257425622,0.09227516208665869,0.23898022257425622,0.42814063123355534,9
alpha_FC6,0.21981076551433532,0.048622994281823866,0.21981076551433532,0.28262499539389163,9
theta_FC6,-0.1615293431633051,0.10507328496476996,0.1615293431633051,0.3736943085015227,9
delta_AF4,-0.13824664183599364,0.02882637226195432,0.13824664183599364,0.16518083965714572,9
alpha_O2,0.12712530754351814,0.08532701454350845,0.13673622964903523,0.23811965736972915,9
alpha_FC5,-0.07432616401785133,0.12298397649647434,0.11788616552958565,0.2443491905386771,9
delta_FC5,-0.0861067161794527,0.09832120192316801,0.10197716014692514,0.3010043117006482,9
beta_O1,-0.005376955309204424,0.13338024166266646,0.09630438413138633,0.2617691166317517,9
alpha_AF4,0.09069438752055858,0.0683948396617424,0.09388024376797398,0.1791241214542588,9
alpha_O1,0.05324986539222435,0.10265056541044729,0.08563631350577351,0.21956008638113586,9
alpha_F3,-0.08180933167139921,0.0795301102089519,0.08180933167139921,0.27776255300049807,9
delta_AF3,0.07575959744755634,0.033932737686571325,0.07575959744755634,0.12976481406336646,9
theta_F3,-0.04427597996074965,0.06899819008436596,0.07138721505157558,0.12851308421881505,9
delta_F4,-0.06996643583649514,0.02993124569470148,0.06996643583649514,0.10216693641756777,9
delta_O1,0.028202042001617165,0.08983825362065832,0.06721956352007236,0.17557884683304834,9
theta_AF3,-0.04048588202156826,0.08675008384144374,0.05604105628006964,0.2530045106019543,9
theta_AF4,-0.044471921797956976,0.0436093583432248,0.0448344582973883,0.14356409939424722,9
delta_O2,-0.03429032862850873,0.049840026917377225,0.043963031767821535,0.12407460690524219,9
delta_F3,0.030130305132944173,0.029243861362848525,0.036799024646555344,0.06354974998902926,9
delta_FC6,-0.016930910253569995,0.033887253955891455,0.029256169608934044,0.06787165037977512,9
