fold_id,test_subject,feature,coefficient,abs_coefficient
0,Subject203,delta_AF3,-0.013253800166733052,0.013253800166733052
0,Subject203,theta_AF3,0.01580065787046506,0.01580065787046506
0,Subject203,alpha_AF3,-0.022371723273587822,0.022371723273587822
0,Subject203,beta_AF3,0.27465289016196914,0.27465289016196914
0,Subject203,delta_AF4,-0.019079612806325672,0.019079612806325672
0,Subject203,theta_AF4,0.026558144398578825,0.026558144398578825
0,Subject203,alpha_AF4,0.0986603756420353,0.0986603756420353
0,Subject203,beta_AF4,-0.5635583886518498,0.5635583886518498
0,Subject203,delta_F3,-0.012123551334375605,0.012123551334375605
0,Subject203,theta_F3,-0.5528520306008968,0.5528520306008968
0,Subject203,alpha_F3,-0.19167530056961177,0.19167530056961177
0,Subject203,beta_F3,1.1121878907321945,1.1121878907321945
0,Subject203,delta_F4,-0.04120790375095245,0.04120790375095245
0,Subject203,theta_F4,-0.013416455494915302,0.013416455494915302
0,Subject203,alpha_F4,-0.005564623226641716,0.005564623226641716
0,Subject203,beta_F4,0.053780073490092395,0.053780073490092395
0,Subject203,delta_FC5,0.016558836240986356,0.016558836240986356
0,Subject203,theta_FC5,0.030592188780127788,0.030592188780127788
0,Subject203,alpha_FC5,-0.04970658141409603,0.04970658141409603
0,Subject203,beta_FC5,-0.2653475445048272,0.2653475445048272
0,Subject203,delta_FC6,-0.0012223317346490817,0.0012223317346490817
0,Subject203,theta_FC6,0.001183016106746947,0.001183016106746947
0,Subject203,alpha_FC6,0.07934894464373865,0.07934894464373865
0,Subject203,beta_FC6,-0.020402113105841346,0.020402113105841346
0,Subject203,delta_O2,-0.08094478903412783,0.08094478903412783
0,Subject203,theta_O2,0.472949832938859,0.472949832938859
0,Subject203,alpha_O2,0.1617005324333233,0.1617005324333233
0,Subject203,beta_O2,-0.9375616479160188,0.9375616479160188
0,Subject203,delta_O1,0.18178477263199835,0.18178477263199835
0,Subject203,theta_O1,0.03303516174348158,0.03303516174348158
0,Subject203,alpha_O1,0.23543442417790952,0.23543442417790952
0,Subject203,beta_O1,-0.46617992163104083,0.46617992163104083
1,Subject204,delta_AF3,-0.009197065939607417,0.009197065939607417
1,Subject204,theta_AF3,-0.00011893808023858114,0.00011893808023858114
1,Subject204,alpha_AF3,-0.026024448987015548,0.026024448987015548
1,Subject204,beta_AF3,-0.0013864242505043144,0.0013864242505043144
1,Subject204,delta_AF4,-0.01765440765441515,0.01765440765441515
1,Subject204,theta_AF4,0.01314660747015571,0.01314660747015571
1,Subject204,alpha_AF4,0.029099964972949092,0.029099964972949092
1,Subject204,beta_AF4,0.05642355458333081,0.05642355458333081
1,Subject204,delta_F3,-0.017871388664525617,0.017871388664525617
1,Subject204,theta_F3,-0.16386786019399247,0.16386786019399247
1,Subject204,alpha_F3,0.032304074299133255,0.032304074299133255
1,Subject204,beta_F3,0.41925583007848277,0.41925583007848277
1,Subject204,delta_F4,0.03469692449483009,0.03469692449483009
1,Subject204,theta_F4,-0.1381078327649455,0.1381078327649455
1,Subject204,alpha_F4,-0.0012162182642968884,0.0012162182642968884
1,Subject204,beta_F4,-0.49267841761196796,0.49267841761196796
1,Subject204,delta_FC5,0.004276657691855871,0.004276657691855871
1,Subject204,theta_FC5,0.00325949659902852,0.00325949659902852
1,Subject204,alpha_FC5,-0.06355952650600528,0.06355952650600528
1,Subject204,beta_FC5,-0.16227039703937748,0.16227039703937748
1,Subject204,delta_FC6,-0.0064289663448716845,0.0064289663448716845
1,Subject204,theta_FC6,0.01685664703619749,0.01685664703619749
1,Subject204,alpha_FC6,0.013840570663424354,0.013840570663424354
1,Subject204,beta_FC6,0.027992372150219155,0.027992372150219155
1,Subject204,delta_O2,-0.03327428856438866,0.03327428856438866
1,Subject204,theta_O2,0.11593984749092236,0.11593984749092236
1,Subject204,alpha_O2,0.09220172069652555,0.09220172069652555
1,Subject204,beta_O2,-0.2507662660355083,0.2507662660355083
1,Subject204,delta_O1,0.06264629340425983,0.06264629340425983
1,Subject204,theta_O1,0.10787045131013623,0.10787045131013623
1,Subject204,alpha_O1,0.05937858644805401,0.05937858644805401
1,Subject204,beta_O1,-0.03181354576061541,0.03181354576061541
2,Subject205,delta_AF3,-0.01310739103595934,0.01310739103595934
2,Subject205,theta_AF3,0.013913972235752704,0.013913972235752704
2,Subject205,alpha_AF3,-0.021914047602285547,0.021914047602285547
2,Subject205,beta_AF3,0.25029721463227056,0.25029721463227056
2,Subject205,delta_AF4,-0.01962555309898159,0.01962555309898159
2,Subject205,theta_AF4,0.03084080032957818,0.03084080032957818
2,Subject205,alpha_AF4,0.08236522843346455,0.08236522843346455
2,Subject205,beta_AF4,-0.519231455899811,0.519231455899811
2,Subject205,delta_F3,-0.006260674394920791,0.006260674394920791
2,Subject205,theta_F3,-0.6186862641557584,0.6186862641557584
2,Subject205,alpha_F3,-0.1329762556409126,0.1329762556409126
2,Subject205,beta_F3,0.8475279823668118,0.8475279823668118
2,Subject205,delta_F4,-0.05480756198216632,0.05480756198216632
2,Subject205,theta_F4,-0.020304035503258423,0.020304035503258423
2,Subject205,alpha_F4,-0.015912549902924726,0.015912549902924726
2,Subject205,beta_F4,0.07385770284221616,0.07385770284221616
2,Subject205,delta_FC5,0.025215169280281727,0.025215169280281727
2,Subject205,theta_FC5,0.02791836710228483,0.02791836710228483
2,Subject205,alpha_FC5,-0.044582644373945234,0.044582644373945234
2,Subject205,beta_FC5,-0.2475017980523847,0.2475017980523847
2,Subject205,delta_FC6,-0.0011692610514310242,0.0011692610514310242
2,Subject205,theta_FC6,0.0015607013659472981,0.0015607013659472981
2,Subject205,alpha_FC6,0.0700391232160936,0.0700391232160936
2,Subject205,beta_FC6,-0.00961255258819567,0.00961255258819567
2,Subject205,delta_O2,0.3104381936678314,0.3104381936678314
2,Subject205,theta_O2,0.5547079906293947,0.5547079906293947
2,Subject205,alpha_O2,0.1835078281166328,0.1835078281166328
2,Subject205,beta_O2,-1.149884054003916,1.149884054003916
2,Subject205,delta_O1,-0.3135265822887624,0.3135265822887624
2,Subject205,theta_O1,0.027625533720813538,0.027625533720813538
2,Subject205,alpha_O1,0.20289709233411524,0.20289709233411524
2,Subject205,beta_O1,0.08367114645273235,0.08367114645273235
3,Subject207,delta_AF3,-0.002370691553993591,0.002370691553993591
3,Subject207,theta_AF3,-0.0017322243064148146,0.0017322243064148146
3,Subject207,alpha_AF3,-0.01617518329141204,0.01617518329141204
3,Subject207,beta_AF3,-0.004781521038798284,0.004781521038798284
3,Subject207,delta_AF4,-0.017590444591658806,0.017590444591658806
3,Subject207,theta_AF4,0.010476513800837008,0.010476513800837008
3,Subject207,alpha_AF4,0.016821617141090876,0.016821617141090876
3,Subject207,beta_AF4,0.051575536472786364,0.051575536472786364
3,Subject207,delta_F3,0.0018060231399150645,0.0018060231399150645
3,Subject207,theta_F3,-0.11825738420227432,0.11825738420227432
3,Subject207,alpha_F3,-0.29104650641489394,0.29104650641489394
3,Subject207,beta_F3,0.6512069953062285,0.6512069953062285
