feature,mean_coefficient,std_coefficient,mean_abs_coefficient,max_abs_coefficient,n_folds
beta_F3,0.8758717788509767,0.28391768519487737,0.8758717788509767,1.2141453300884342,9
beta_O2,-0.8431589467288995,0.31387432138966714,0.8431589467288995,1.149884054003916,9
beta_AF4,-0.3848175336994811,0.29734974652851937,0.4088173317119515,0.7539710379379012,9
theta_F3,-0.35648779247124235,0.23277552417190275,0.36195207906174187,0.6186862641557584,9
theta_O2,0.30082254952677473,0.20222878122301774,0.30082254952677473,0.5547079906293947,9
beta_O1,-0.23628310570812724,0.2164507138867758,0.25487669380873446,0.5412508598698839,9
beta_AF3,0.22597095579323825,0.16933967706001551,0.2273416103019722,0.5683653811425576,9
beta_FC5,-0.22122800242071505,0.11652608867794574,0.22130930130277163,0.4247970119999749,9
alpha_F3,-0.2027047171185946,0.1675935605871448,0.20988340029617975,0.585029867391504,9
alpha_O1,0.15859545043199152,0.1540400002696924,0.2059086741852108,0.2727005822245344,9
delta_O1,0.13600491970792836,0.19552777787360034,0.20567749354987555,0.358616202932774,9
delta_O2,-0.10510172405779013,0.22547329946701253,0.17408798931730823,0.5584991392301298,9
beta_F4,-0.027989667483251553,0.20214070913730567,0.133371604688932,0.49267841761196796,9
alpha_O2,0.11933377211627899,0.09123017410994178,0.13327313438415544,0.19213280619477063,9
beta_FC6,-0.11600436169885822,0.23298919156367948,0.12750116107667467,0.6520917727935989,9
theta_O1,0.1206379239327643,0.15246445407475703,0.12286822647905218,0.4700187291992751,9
alpha_FC6,0.08440908739071146,0.07271676522257893,0.08440908739071146,0.2586674484348677,9
alpha_FC5,-0.011881415961188087,0.11326929374055145,0.07583099542622085,0.28777310759264746,9
alpha_AF4,0.07087056741485198,0.04224989910991378,0.07087056741485198,0.1242369727976244,9
alpha_AF3,0.01816364719513608,0.11844996201255589,0.056043886572988866,0.33393390195656225,9
theta_F4,-0.055339118858799975,0.05994941052777467,0.055339118858799975,0.1381078327649455,9
delta_F4,-0.030893787729578417,0.03856333279266097,0.03860421539509621,0.10677373815925399,9
theta_FC6,0.03853311907339115,0.07191137679053645,0.038597025144321784,0.2044365167654052,9
theta_FC5,0.021856143641306384,0.026129540149891467,0.026898267642134443,0.07331282848877113,9
alpha_F4,0.013589350919608677,0.050057802546414905,0.02646425503739826,0.13894241209162572,9
theta_AF4,0.022703794166126508,0.017479875435888602,0.02567774003352437,0.04770601055033857,9
delta_F3,-0.009690573967472122,0.030670630485210425,0.024218445164339103,0.06204283237511094,9
delta_FC5,0.01326081332421901,0.015711451477722974,0.017861738189453646,0.032274582224226564,9
delta_AF4,-0.014814591042330507,0.00917214009906614,0.016909486908535998,0.01962555309898159,9
theta_AF3,0.015668517906886434,0.017031444722136378,0.016079887326142746,0.05632565063045784,9
delta_AF3,-0.01097581447120543,0.00445656734675549,0.01097581447120543,0.016333742381561666,9
delta_FC6,-0.008066506577803107,0.012249243254042122,0.008066506577803107,0.03216833446117061,9
