experiment,mean_balanced_accuracy,std_balanced_accuracy,mean_f1,mean_precision,mean_recall,mean_roc_auc
bandpower_logreg_train_task1_test_task2,0.6755141080822573,,0.5208053691275167,0.38877755511022044,0.7886178861788617,0.7547911490592669
bandpower_logreg_train_task2_test_task1,0.5596212576721813,,0.3971223021582734,0.3039647577092511,0.5726141078838174,0.5725962482958975
bandpower_logreg_subject_relative,0.5289359425089069,0.14245187391559777,0.31934573362010393,0.3591935757431262,0.30586638211108874,0.5103963921681627
bandpower_logreg_no_af3_af4,0.5074174288584594,0.07159274644326132,0.49239334750198704,0.4294002978116956,0.7332943705210422,0.5365122981782197
bandpower_logreg_occipital_only,0.5062123700799019,0.07563693537344574,0.5026401074735534,0.3791624725101729,0.7891841116478798,0.4709291500258834
bandpower_logreg_frontal_only,0.5023809166670881,0.030664357303566623,0.5681205367166263,0.41393103743302156,0.9238512842344259,0.41693625135020507
bandpower_logreg_no_artifact_rejection,0.5007020757020757,0.11631077819461318,0.5411570197407788,0.4150009091136518,0.8314814814814815,0.5722127255460588
bandpower_svm,0.47487761308335297,0.07697486781993795,0.5407096017938287,0.39834394809342666,0.8553179737291848,0.45601953218853325
bandpower_logreg,0.4665619028894995,0.10399040901409831,0.5337967761794236,0.39087393519160907,0.8518317384517619,0.5011445372748784
bandpower_logreg_no_high_beta,0.4665619028894995,0.10399040901409831,0.5337967761794236,0.39087393519160907,0.8518317384517619,0.5011445372748784
